10000 10000
1348 6052 5
8964 3436 4
1750 5059 4
8678 1043 3
324 9844 6
5570 1158 8
8723 1958 5
7872 5402 1
372 8192 2
446 6325 2
6996 7673 4
8512 6637 10
8337 8387 2
9200 3417 5
3503 3741 1
5000 9311 9
2917 4386 9
5993 8611 4
4444 8983 6
4067 9429 1
8658 2777 4
5653 7641 3
9733 5979 2
1576 1531 10
4462 5034 3
7192 6386 7
7433 9303 3
9631 5297 4
3584 6093 9
5729 160 9
4199 8818 8
6694 823 10
5826 556 9
6050 8484 2
3339 9298 9
7073 6491 5
119 276 9
3904 9907 8
9947 3492 1
1326 5573 3
8486 6125 3
4775 2819 6
2354 4998 5
2264 7400 9
3706 739 8
2886 4164 1
2100 4284 7
618 8188 6
7137 4487 10
9749 2165 4
2521 7003 9
463 1779 10
5581 485 10
1255 9102 10
1765 9160 1
1574 2046 6
7874 4146 2
802 1117 10
9990 8254 9
2669 8004 5
922 6877 10
1652 7341 1
1554 2922 7
6453 529 9
5105 2294 1
4495 3869 7
4402 8095 3
8593 5250 2
7324 5240 7
543 7909 3
2279 5184 10
7370 6836 3
4241 4742 7
7949 1196 6
759 6301 1
2729 7148 2
6745 1551 7
1259 6496 7
3243 3821 9
7129 716 1
1723 9347 5
3194 3069 3
2007 7310 6
93 5259 4
5061 6018 7
5971 5099 5
3454 8196 8
2680 9456 5
3509 2699 8
5929 6180 6
6259 4255 5
1773 7449 4
6828 9456 7
6625 5902 6
7618 963 7
1264 3286 6
8410 6740 3
7108 5772 1
8654 5633 2
373 1563 4
9160 4174 9
7294 5948 10
4849 9128 9
9715 5753 1
6193 3371 6
5041 987 4
8988 9397 4
1132 2857 8
9084 1511 2
9735 8236 7
9270 7396 1
3060 1042 1
4300 2244 9
1348 1959 4
650 4504 7
915 5897 4
818 1238 4
3813 2370 1
2580 1455 5
3333 7542 1
2001 3165 10
8492 6225 2
3634 525 6
7905 8225 8
7928 8875 4
7675 9790 4
4760 6960 2
7595 773 2
3288 9706 9
6844 3039 4
2284 5041 1
7825 9885 6
8057 3519 4
6884 1424 1
4023 9353 7
5667 3380 9
9560 4492 10
1043 8440 5
4896 1728 1
6557 8572 1
5760 7208 4
832 5034 9
2129 9443 8
3952 2679 5
6705 6703 8
1981 8722 10
9751 8282 4
8130 5677 4
3635 573 4
5197 7130 8
3447 9242 7
9442 74 3
8970 2204 8
8370 2508 7
9194 9213 10
5723 7546 2
1984 7298 6
2737 1780 3
8283 1767 7
5556 6965 9
7754 6764 2
3512 6207 6
656 1529 10
7243 9899 9
6509 5445 4
8831 1168 1
9874 9504 1
5552 2242 1
554 525 9
2482 6081 6
1541 187 10
9842 3699 7
4569 4355 7
5149 7950 8
4589 4460 4
9594 9643 4
5794 9517 9
1996 5069 1
3627 1976 8
3377 810 1
92 2351 9
3571 8545 10
3258 3115 8
826 4616 8
8293 5557 10
7558 5151 3
7992 7298 3
4282 9294 4
2814 2921 10
1871 2650 1
3361 2742 4
1391 2666 2
3121 2276 9
5558 3102 7
2297 7747 4
3497 5306 5
4339 9650 3
7403 3932 10
5537 6746 3
5646 4969 4
2918 4682 8
8894 6074 4
9767 5547 10
3755 7457 2
8711 9754 2
9224 9603 8
1240 295 10
555 7698 2
9164 3235 10
3398 5234 1
3931 8152 3
3559 3398 9
5852 3165 8
6774 6920 5
4445 1983 2
2568 7559 5
5997 8800 10
9076 5707 9
2439 1223 6
2548 4621 10
3978 4905 5
6443 8464 3
4981 668 9
5419 7442 1
9665 8240 5
3666 808 6
3623 6806 8
3874 5882 5
1824 4674 10
3010 7222 4
9429 7553 9
6705 3996 5
1028 5329 3
4868 748 6
1980 6766 8
1076 432 8
7732 407 4
9539 4282 9
3406 6106 3
8495 9116 7
4558 4898 10
1878 1603 8
7662 8983 8
467 203 8
4362 2184 4
9201 3260 9
4848 992 8
3654 6884 10
8342 290 9
4056 5137 5
3344 6048 5
186 7926 1
1023 1941 6
3542 2408 10
6810 3122 4
3195 2323 6
6365 3523 1
9943 7177 5
4154 1871 7
4472 5927 6
259 9272 4
7295 9458 3
5935 6833 6
9911 376 4
442 3538 6
3157 3085 1
9132 5803 4
8804 2098 2
5360 6252 5
8558 7077 3
6894 7336 7
7629 983 7
2643 6919 2
9598 3182 10
8961 9976 10
7798 3133 6
5310 8617 1
9994 7422 9
8207 9134 3
8291 7693 10
655 939 8
8643 8568 2
2441 1212 3
3073 7162 7
432 2476 3
7682 274 8
4369 1937 5
3211 8283 9
7799 6490 4
4991 1133 9
5613 8141 8
3570 6784 6
8863 9226 10
1075 8651 5
9173 5435 1
895 9469 7
8454 190 4
4631 3401 7
8229 1200 9
7314 2544 5
444 8157 6
8161 8079 2
799 6943 10
1000 4370 1
8364 3544 7
8204 791 8
4671 9246 9
9426 3877 10
6113 8458 3
1993 5773 7
9007 2569 6
4162 731 5
2454 7882 8
6323 8882 9
5196 7247 5
9504 1803 6
3281 6474 2
7249 5901 1
971 8366 10
5893 359 5
9711 9367 4
1686 9881 7
8092 2335 9
1442 5011 2
9162 207 1
426 6063 4
2481 9344 1
135 2946 2
1665 3917 10
8006 6162 9
120 5873 8
1156 3911 10
2922 2003 7
2571 9797 8
7454 8959 7
9584 9385 10
9869 8219 5
6629 4706 1
5642 2723 10
3021 730 2
7112 7202 5
569 8358 8
3908 7633 3
5935 6556 1
9324 4010 10
9273 9946 8
8932 6167 9
4288 2797 5
2590 8439 8
4809 7813 8
3190 4925 1
3796 5494 1
8313 5755 4
1186 8042 2
208 7366 2
1837 6639 10
5556 1924 8
7494 6212 7
4138 8803 6
3506 9964 1
9955 9507 6
3607 9655 3
1970 4321 8
1613 1859 10
517 2067 8
3430 256 8
6290 5813 4
1669 3307 6
9845 3798 1
2812 7304 8
9945 3611 5
5650 7219 2
3202 5541 3
6509 3506 2
4210 4023 9
9278 7454 8
7337 3744 1
7320 1765 8
9867 7962 6
7570 7126 2
5237 7071 6
8763 9074 7
1944 2276 8
9447 5138 4
5160 9348 8
2941 4978 2
978 2315 8
4828 5987 5
8337 5855 7
5645 3425 5
256 8662 7
1183 7425 1
9329 5721 9
3016 5168 9
210 6681 8
7779 9622 8
6450 600 4
1569 5428 1
8453 117 8
9651 5762 3
7975 2371 7
9723 3554 4
545 2884 6
3644 2252 6
8232 2462 7
8521 241 9
3789 3043 1
7724 4612 1
7646 9417 9
3424 9068 3
2626 7044 4
6843 6767 9
1188 7313 5
4903 7309 7
6491 1893 2
8407 415 5
6298 556 9
4788 8280 3
1411 5926 1
1799 5702 1
4301 8329 5
5527 1524 5
307 2712 10
7971 3968 9
4239 459 4
2970 5218 1
8295 1516 7
3015 2657 9
8699 420 8
3801 2219 10
7972 2872 1
5538 4751 5
6224 5058 10
4223 9381 10
5883 3621 1
9437 2943 9
9757 7590 8
6986 6957 7
8846 5657 7
6633 9458 8
6475 3782 10
4645 5673 2
692 1897 2
5803 2473 4
4882 8356 7
772 4145 10
8232 255 1
7209 3593 8
5195 2439 7
3601 5425 8
578 1900 10
6780 2897 5
7733 3589 3
96 9392 6
5489 626 4
855 7750 2
5517 5983 7
7769 3192 10
6978 8388 1
1845 8341 6
2522 5272 8
3333 8404 6
9818 6137 5
4552 6233 10
5407 8075 8
7322 5282 9
3383 799 2
9699 4920 4
5960 1899 4
4661 3744 8
5138 6266 2
7516 5951 6
9143 5769 5
4359 321 10
8968 2080 5
6908 9403 10
6246 2786 9
7919 8838 10
6432 1150 1
6038 2163 5
337 7302 3
9908 1170 4
7883 313 6
8347 4672 9
1396 9993 10
8873 6901 5
1632 9499 3
1542 7418 1
6373 202 4
3103 2592 7
3577 2929 9
3021 9189 1
8417 7072 6
9582 1771 9
7420 3168 4
3691 8393 7
9365 25 8
4178 1567 6
4180 7941 10
5333 1044 3
8650 974 4
5620 3995 4
3761 2412 8
8566 8346 10
4396 2119 10
6571 5810 3
5647 1528 10
6926 2058 7
9271 6238 10
4523 7924 7
2367 6574 1
3140 8546 8
9455 8659 3
9195 3578 1
706 4326 10
5385 898 3
4809 2897 1
610 9824 9
1626 5447 9
3288 9970 3
5994 8689 9
6026 8182 8
6405 7637 7
5549 3184 7
3040 3890 4
9001 5627 4
7125 436 1
425 1046 7
2135 9025 5
6436 8665 7
8660 1011 7
7459 7037 9
7508 9794 8
6216 5344 3
8503 4736 5
5116 89 3
8979 7215 1
2091 3992 10
5028 6128 7
9764 8916 2
822 7576 3
4218 1387 2
2148 8895 6
4068 5112 2
9172 3615 10
8166 5083 10
2788 414 7
551 8857 9
9360 237 9
3546 1 5
6397 7176 4
6611 7746 1
3862 9895 7
7259 315 1
6001 9487 8
2182 4005 3
2101 3146 9
5587 3697 6
9418 9409 4
9376 2955 7
4603 5704 3
7406 2315 2
1596 2529 7
1034 9788 4
1936 5789 1
6453 4324 8
8757 6425 4
1475 8365 3
3051 7783 2
1216 3511 7
9382 8114 1
1077 5520 8
518 7117 7
6206 4503 6
8561 6440 7
4051 9245 1
6250 8003 9
5244 9478 6
4286 8881 9
2738 97 2
496 5832 7
3959 3261 7
9736 3779 6
4395 6337 2
8842 4898 2
9078 5301 9
9991 1551 2
3681 3147 3
5736 3786 4
1926 6524 2
1627 3372 6
9443 7331 7
9132 3420 8
2289 7815 7
9950 6657 5
403 2087 8
102 8430 1
4155 2111 9
7687 7847 5
101 6125 1
8964 7753 3
3659 3548 5
7967 2680 5
6054 4970 2
6830 1272 1
8856 1676 10
6183 8130 1
7765 2285 4
6143 9973 4
4659 6426 9
9699 5390 2
4464 5401 1
208 9720 3
5724 2126 5
5407 8956 8
1747 4164 6
2878 6699 6
6088 4464 1
4114 6960 4
9987 1619 2
1985 7671 4
8089 2135 5
1389 8695 7
73 771 3
3728 6178 1
8655 4277 5
7962 7155 6
9047 9596 1
2417 3710 3
2113 3697 2
4586 2034 5
2450 123 10
2066 7864 7
1403 4290 8
2865 8018 6
9636 3025 5
6922 987 3
908 34 9
5710 8803 1
3824 7268 10
3557 1855 4
962 4305 10
501 6371 6
5088 7774 6
6797 6992 4
4685 2980 1
6849 9902 8
2521 7162 4
4141 9224 10
9471 3048 8
4850 6606 5
8616 7568 10
2505 4421 4
610 5861 10
3006 2659 2
9771 7344 2
9562 4193 7
6691 3067 9
3855 7208 4
6174 6680 2
2113 7882 10
9908 6498 8
2007 9003 2
3182 5966 3
2132 5324 2
8073 5095 6
3347 1009 2
8523 7701 1
7213 1556 9
8776 4082 1
9740 6195 4
3661 6103 4
8799 4463 10
4710 7645 6
2834 6129 10
7266 555 7
5393 3902 7
4066 8777 10
5806 5990 8
1107 1119 10
9439 7211 7
5654 872 3
8368 6023 6
6437 7085 3
472 9920 5
6183 3538 10
3341 5283 4
5157 9350 1
7378 1508 3
1155 8967 4
9014 8407 7
9421 4061 10
2283 2429 5
5960 5218 3
3634 2042 3
7438 8225 3
1797 1567 6
6410 3076 8
6152 455 9
8237 7962 6
1440 6977 5
8207 2750 9
2198 1385 8
8564 3697 9
2016 7331 1
1740 1122 9
5002 9271 6
9900 5682 4
499 8186 1
2607 2775 4
35 4216 3
5869 8775 5
2117 7325 2
7147 5889 9
3747 7906 2
6037 5998 4
2905 1001 6
7692 7253 10
1908 7752 8
2930 6712 4
1915 6747 10
7877 8968 7
9293 7438 2
2094 4585 3
8592 4684 1
8774 721 10
6429 9979 3
7004 4023 6
5965 5931 8
3113 8862 10
3036 777 9
3527 5007 8
9145 4300 6
5736 2747 3
920 1339 7
4011 6465 10
9452 9247 9
5894 2603 3
9589 8569 6
7388 8034 10
1900 1070 8
3158 949 7
3385 94 9
7402 2182 6
2356 3102 8
1994 3465 5
2354 2917 2
9044 8811 8
3406 4752 7
6404 2141 3
8263 4041 3
7252 7199 4
1248 6937 10
2249 691 2
9644 3048 6
1083 5042 4
5340 3748 1
8843 2793 5
4950 2551 7
5978 8955 10
5040 7219 1
1524 4471 3
8957 2072 2
2836 4321 3
5249 317 3
765 7753 6
6098 3093 4
700 1936 9
4114 3239 1
8633 9217 6
5292 4258 7
2345 5782 1
6597 1092 5
4138 280 8
8722 5530 5
6355 2647 10
9030 5097 5
1805 5797 4
7374 6264 3
1846 4897 10
5273 6541 10
5920 8886 5
3742 5483 9
3636 5973 9
4203 4696 1
1439 1051 8
6429 6433 7
863 4590 5
9938 8316 1
5900 162 8
7432 5436 1
9573 7708 8
7497 1450 1
2865 5086 7
4866 5641 3
2396 7080 6
8926 3509 9
552 725 1
7976 7015 8
4368 2916 10
9305 6700 8
3488 6273 6
205 3771 8
8757 2988 4
3283 7854 5
8857 251 8
5482 9177 9
4892 9729 6
8893 4058 2
7562 8426 8
41 4084 10
661 7572 3
8988 4129 6
8766 2886 5
9981 2522 1
486 1379 4
775 6862 3
4573 8106 5
5449 6999 5
3340 4561 1
499 955 7
4358 7968 1
842 6956 10
1098 5722 9
694 5704 1
8144 2542 10
8550 3317 4
8132 7890 1
3796 3339 2
9870 3031 6
723 3530 3
2011 4240 1
872 5083 7
213 6181 10
2441 3227 6
7191 7723 8
9673 6273 7
9016 4406 7
2818 4554 9
3620 777 10
1687 7852 3
709 9863 3
7699 735 6
1645 7301 9
7666 9742 6
9391 6934 10
10 6607 5
3946 1975 3
2125 4794 10
3643 4766 7
4544 6453 9
8976 7162 4
7649 4861 2
7756 2858 3
4045 6877 5
9912 2620 1
3503 2631 8
3368 2929 6
3990 5054 10
5519 5049 6
4177 9594 9
687 8570 1
7061 2571 4
522 328 2
1284 4373 9
1788 637 2
5579 4141 3
2328 7509 4
7405 7851 9
924 9723 10
5561 3900 4
6651 4588 7
8551 1649 10
8016 8523 8
340 9807 3
9540 7947 1
1361 3526 4
5813 2207 3
9547 9612 6
4687 6889 9
1228 2450 10
1012 9102 10
2070 4005 1
5699 8374 4
6009 8714 1
7043 8254 8
8715 9616 7
4528 1781 6
4202 7680 8
1728 8719 9
5328 9948 10
2829 7312 4
4918 5734 1
5008 7785 5
3621 3794 9
8393 7190 4
1113 5905 2
7359 434 5
2164 988 6
2933 2716 5
592 4397 5
7053 7226 7
2616 2145 1
4888 3505 7
9183 3479 3
2191 1872 3
9806 9337 9
3389 6696 5
8754 5212 3
1799 4498 2
9915 1442 9
7980 8495 5
9708 7463 2
819 2351 8
6067 1534 9
5109 78 1
7694 6236 1
6184 5978 9
5108 4732 2
1372 2883 2
6705 9150 4
6435 3482 9
7040 3191 4
2493 362 5
1452 6429 2
3890 7890 2
4553 1936 10
4553 8120 8
7601 9580 10
2214 953 5
1325 4010 6
8230 446 8
7278 7486 9
6493 6331 3
1708 7784 4
1161 1674 5
7044 2579 1
9163 7132 4
7261 1086 4
6442 3300 9
4859 978 10
6074 9208 6
7123 2839 4
1364 9332 5
5966 7392 1
3350 4905 6
4976 1949 5
8538 7465 10
221 1078 6
1485 3872 8
6405 8731 8
8984 1157 7
2009 8281 8
8872 9645 2
2067 1963 7
9397 5313 4
4754 6641 4
2691 5180 1
4112 1753 9
267 9590 1
2426 5996 3
5564 4980 10
4262 6990 3
5799 5862 8
9372 4281 2
6690 31 7
8914 1137 9
3087 3828 1
1077 7940 4
6497 4559 7
9437 3338 3
7461 8902 3
6643 3164 5
4105 5315 10
7565 4687 1
2988 1378 2
3724 292 10
7454 9731 10
2716 7160 3
3380 3657 4
9986 9446 2
8940 3260 4
2874 9903 10
3799 360 5
6938 7925 5
4358 7265 5
8162 7342 9
3103 4796 2
8224 7513 2
1286 7245 1
5260 3583 9
8923 2523 9
5137 1749 4
7218 5548 5
8263 2486 2
6699 3197 8
2865 7711 10
9323 7166 8
1864 5390 3
7917 3029 8
3979 8289 3
9487 3564 8
8256 5053 8
3279 2272 6
5015 6887 5
1029 3586 4
7956 6451 7
8577 2126 3
346 342 3
9629 8259 2
2508 2238 3
8971 8077 10
660 2685 3
7747 2317 5
6735 7332 2
4561 8361 10
5584 2669 3
7022 7598 1
9274 7945 3
3268 3926 4
292 6434 4
1956 1757 2
7185 8770 7
7468 6517 4
6374 9604 9
2168 517 2
1547 6101 2
82 9475 2
742 8749 9
8097 8370 5
3710 8662 2
7914 6970 1
195 4156 1
1513 7976 1
5149 4350 7
6117 6518 5
1798 4418 8
6501 852 4
8803 7946 3
5401 6043 5
2278 9754 7
5589 7668 8
7009 4215 6
3552 2080 2
6612 7229 4
5628 3346 3
5162 1497 3
7150 7998 5
8613 3153 1
5177 8555 5
112 833 1
60 2774 1
6979 6135 6
8054 9687 6
3457 6299 8
3211 8280 4
5835 3442 3
2877 6944 2
7123 1909 7
9315 7087 4
7551 3551 9
5541 9963 3
7551 6943 9
128 1349 6
4786 4807 8
6673 4370 8
8258 205 2
1341 9434 7
8774 2909 8
9360 2224 7
4854 9776 8
7532 5317 4
9337 9221 7
925 9349 8
8552 487 7
2479 7160 7
1038 5419 4
3040 3112 10
8338 1886 9
5545 7598 4
6192 2452 10
6741 6337 9
7254 5674 10
1062 2951 2
6220 1503 9
8888 335 2
5927 1373 3
3170 4413 5
2552 9103 3
8490 4649 1
3005 7193 6
944 286 5
6905 7541 9
2086 4955 10
6617 7527 5
7988 6416 10
6519 8695 4
6821 1865 9
235 769 3
8239 9260 4
7489 2265 7
1896 9562 5
2640 2819 8
5410 4905 4
4779 1523 3
8356 5863 9
5915 2382 4
1200 9203 2
899 5790 1
6053 4029 3
5856 7870 1
9204 6119 3
2838 8759 2
366 4170 9
9201 5301 4
5563 3657 7
4694 5925 9
2519 7125 4
8562 4376 6
5375 429 7
1447 6285 10
2489 1841 9
3093 4680 8
164 1398 10
8493 599 4
1048 2514 3
3115 7208 8
3915 6080 6
3919 4642 2
2416 6369 4
4943 7817 1
1692 6658 3
4560 9752 5
2539 6268 3
1041 1113 4
4844 2162 8
8656 5277 9
4746 9192 9
7961 9463 3
1904 1880 3
2629 6823 2
9640 8515 10
8492 9427 2
8376 8318 1
6010 9359 4
4243 4203 6
1342 9212 5
5650 3958 8
2390 8271 1
125 6527 1
7877 9157 6
6150 8797 3
4729 3641 10
9413 8369 9
365 4379 10
2430 4974 4
6658 6316 6
6162 8319 6
4859 7061 7
9372 7186 4
9412 1415 3
8980 7565 10
7062 2295 3
4572 8060 2
6752 8425 1
8291 855 5
386 7513 4
1693 28 5
6958 4887 6
6846 611 3
3262 6376 10
8834 5356 6
9556 2418 3
3918 6990 3
6650 94 10
112 4738 5
8549 5124 1
3302 6818 9
2726 128 8
5563 3327 10
5587 6589 6
7027 1775 2
6032 1331 2
3684 1602 3
9396 8252 9
6237 4716 7
7581 3265 2
9143 6567 2
733 5645 2
3563 1209 9
7004 6796 8
6821 3823 6
1994 6207 7
9585 9891 9
519 5639 3
1548 1876 10
3666 5810 7
909 1305 5
4970 8391 2
5512 1954 1
5732 5310 10
6190 2131 5
4775 4125 3
1043 62 6
8914 582 6
1388 8482 4
8579 2148 6
9036 3058 2
2412 4380 5
1433 6244 1
1664 1977 1
1395 4519 2
4949 5646 9
4711 3041 1
717 1955 5
8714 9696 9
4939 8275 10
6975 3663 10
6668 6075 10
1104 7509 7
7494 9173 4
9194 568 5
9377 1869 1
3685 6581 4
4407 3650 2
2064 8716 8
8202 3655 5
2841 6982 9
6890 2 4
1672 1106 3
2698 4952 8
2053 4146 8
5927 3523 8
1799 3560 1
7064 4320 1
4285 6384 7
7554 938 4
9099 132 9
659 3374 3
1942 5046 10
7087 4096 4
1404 6149 1
8994 8428 6
2101 6579 9
4493 3644 9
4183 4281 5
8941 1836 3
3706 7287 7
5454 7946 2
9909 9888 8
5470 6975 5
5983 4732 6
643 78 7
1531 2179 6
5979 3024 2
1099 7207 6
2603 2500 2
1397 2558 9
324 4365 5
2625 4274 5
6324 9744 3
4120 5727 5
8066 2723 3
3144 4254 4
4801 233 8
103 1332 7
6038 287 9
161 1684 7
1571 2008 2
4575 985 6
171 7310 10
2743 1430 8
47 5848 1
3781 8992 7
6046 3794 10
1335 249 4
3831 2639 3
5179 2800 9
5438 4371 8
3709 5298 5
6255 5469 5
4896 8213 8
2913 4612 6
5 4746 9
1351 792 5
9282 2128 4
4897 2311 3
799 3843 3
4738 9281 6
7037 9342 4
6673 5597 5
3620 494 10
1997 9759 3
2574 6117 9
2144 7468 3
5508 6751 3
9121 8000 7
1725 5152 10
7129 9890 3
6904 3279 5
8329 6304 5
5224 9924 1
6683 1921 10
9107 4496 7
6277 2992 8
592 8501 1
7034 3974 1
2140 5700 3
7441 2829 5
8375 6086 6
2300 4415 1
4526 5991 5
7246 9027 9
6077 8134 7
1026 764 9
9795 1356 2
5315 4742 7
5187 3235 7
212 676 8
1478 5404 4
6024 7704 10
3226 8582 3
352 5828 10
9400 8257 7
5648 5635 3
4889 5430 9
2630 745 1
4346 2285 6
8114 2497 5
1064 3975 9
3747 6351 5
7198 9577 7
6641 9930 7
1462 5682 6
4418 7683 2
4490 2572 2
2270 5202 10
4793 5901 5
4198 4015 4
6984 5079 9
8822 5179 3
1068 2377 10
5544 5370 2
8552 6833 7
9818 7603 10
6719 8446 2
5402 716 4
4831 5509 7
2897 6060 3
9812 9396 4
4351 8219 3
1593 9287 3
4764 1184 3
4218 9736 8
9354 9554 2
2173 2625 10
3916 8028 6
861 9211 8
3708 2109 10
6922 1921 6
5215 2624 7
5040 569 7
3594 5334 3
7518 5904 9
8276 5258 6
2989 3783 1
6148 7699 9
23 8560 1
2112 8620 2
6613 5542 5
511 7110 2
2627 8502 1
6735 2096 7
2027 5966 1
3408 4242 9
4343 7231 4
4255 3379 3
2196 9755 6
9348 8219 6
8609 4833 1
2495 1696 1
9006 675 3
6087 7411 1
1205 9438 7
2228 2846 2
8508 3541 3
8572 7797 5
6334 9993 2
5361 9341 1
3009 4302 6
6199 6797 2
6499 5804 8
1653 8243 1
5255 5800 9
4823 8028 8
8634 6537 9
6029 5109 8
3155 7795 1
36 9509 4
1488 2518 6
7774 8717 6
2107 1568 10
7116 3221 5
9536 4828 7
7747 9651 6
5156 4638 5
9754 667 6
4854 174 3
9946 210 2
4380 1698 2
3115 5824 9
1352 7932 9
5393 5048 10
7677 4585 10
8466 8684 2
7283 3840 10
2637 9946 9
9452 4800 3
6766 4747 5
7238 5479 5
2931 4946 10
990 6299 2
6968 1692 2
2520 5722 9
2899 4188 3
9282 1471 3
303 460 2
1991 9912 2
205 3030 1
4981 6620 10
1456 9552 7
3755 542 8
338 3862 10
8321 2734 2
890 1986 10
8494 1268 3
3587 1572 3
1330 9915 7
7521 121 8
1164 5102 8
285 2910 10
4353 6665 4
4720 3355 9
6780 1677 3
4561 2567 9
2883 1061 10
2675 1000 4
9280 8682 9
5796 6204 2
1695 3720 7
7863 4005 7
9934 8359 5
8900 3079 10
1728 6211 9
3642 773 8
7543 8 10
2712 9035 2
5805 8315 5
5165 464 1
4647 2159 3
5583 6374 8
9429 6309 7
6293 1561 9
2865 3289 10
1113 3283 5
8281 826 5
2862 9890 1
4795 2047 8
5411 7213 2
8583 1860 4
5475 7443 8
6373 3224 9
1981 5870 10
7021 5087 1
1921 6200 5
297 833 1
8682 47 4
6102 1195 1
4541 6606 4
7093 5190 4
8156 665 9
1945 3390 4
2044 5372 6
3703 2393 3
1356 666 5
5940 964 1
1350 9646 8
3003 2100 3
3056 6641 2
3969 86 2
6743 4594 9
9663 6540 10
5808 4936 4
7823 4991 9
1277 6347 6
932 2287 2
7772 9990 10
1011 9345 2
9094 2401 3
6487 6371 2
2718 9466 6
2318 9129 8
8957 1290 4
7320 9113 6
781 6743 3
8556 7675 1
9999 1799 3
1088 2810 8
629 8256 10
3163 4743 3
5784 3813 9
9352 6132 10
9459 1441 2
4503 5114 8
890 5895 1
7272 4451 6
2294 802 7
